RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,1.269,78.650,62
2,0,29725,Tony Finau,0.808,57.389,71
3,0,35532,Tom Hoge,0.795,67.572,85
4,0,39997,Corey Conners,0.776,60.501,78
5,0,48081,Xander Schauffele,0.700,45.529,65
6,0,52375,Doug Ghim,0.681,40.848,60
7,0,46414,Aaron Rai,0.676,50.694,75
8,0,39546,Keith Mitchell,0.669,44.829,67
9,0,33448,Justin Thomas,0.541,30.314,56
10,0,33204,Shane Lowry,0.531,32.407,61
10,0,26476,Chez Reavie,0.531,24.951,47
12,0,51890,Greyson Sigg,0.512,28.179,55
13,0,25900,Lucas Glover,0.511,33.748,66
14,0,39324,J.J. Spaun,0.502,29.590,59
15,0,30163,Henrik Norlander,0.498,17.918,36
16,0,32839,Hideki Matsuyama,0.492,29.527,60
17,0,32757,Patton Kizzire,0.491,19.635,40
18,0,37455,Si Woo Kim,0.486,35.995,74
19,0,51997,Andrew Novak,0.474,29.882,63
20,0,27064,Jhonattan Vegas,0.469,22.970,49
21,0,34587,Chan Kim,0.462,26.354,57
22,0,46717,Viktor Hovland,0.458,23.830,52
23,0,52955,Ludvig Åberg,0.450,28.334,63
24,0,26596,Ryan Moore,0.431,24.543,57
25,0,57362,Austin Eckroat,0.412,29.244,71
26,0,37275,Sam Ryder,0.400,20.414,51
27,0,34076,Joel Dahmen,0.389,22.941,59
28,0,45242,Kevin Yu,0.378,20.013,53
29,0,59143,Mac Meissner,0.375,19.850,53
30,0,54783,Dylan Wu,0.366,22.350,61
31,0,48117,Kurt Kitayama,0.365,21.176,58
32,0,52453,Nicolai Højgaard,0.359,16.152,45
33,0,34098,Russell Henley,0.343,21.925,64
34,0,27139,David Skinns,0.329,17.440,53
35,0,27644,Brian Harman,0.328,24.898,76
36,0,40115,Adam Svensson,0.322,27.395,85
37,0,36326,David Lipsky,0.318,15.924,50
38,0,54591,Ben Griffin,0.311,23.003,74
39,0,33141,Keegan Bradley,0.301,21.405,71
40,0,49960,Sepp Straka,0.287,18.632,65
41,0,27349,Alex Noren,0.286,17.168,60
42,0,47679,Victor Perez,0.285,16.239,57
43,0,51634,Sahith Theegala,0.284,23.029,81
44,0,50525,Collin Morikawa,0.283,18.399,65
45,0,58168,Davis Thompson,0.277,20.198,73
46,0,48887,Matt Wallace,0.265,14.598,55
47,0,56630,Akshay Bhatia,0.264,20.842,79
48,0,55182,Tom Kim,0.261,18.279,70
49,0,28237,Rory McIlroy,0.260,16.100,62
49,0,48319,Tom Whitney,0.260,10.664,41
51,0,31646,Emiliano Grillo,0.257,18.728,73
52,0,47483,Will Zalatoris,0.254,13.986,55
53,0,48153,Matthieu Pavon,0.249,13.198,53
54,0,59442,Parker Coody,0.242,11.593,48
55,0,45522,Christiaan Bezuidenhout,0.237,17.078,72
56,0,25493,Nick Taylor,0.236,15.080,64
57,0,32640,Troy Merritt,0.230,11.738,51
58,0,54628,Lee Hodges,0.223,15.367,69
59,0,12716,Charley Hoffman,0.219,11.161,51
60,0,51287,Ryo Hisatsune,0.215,12.250,57
61,0,40162,Justin Lower,0.203,14.239,70
62,0,40026,Daniel Berger,0.199,8.936,45
63,0,36801,Mark Hubbard,0.189,13.428,71
64,0,47988,Nick Hardy,0.188,12.198,65
65,0,28252,Seamus Power,0.186,13.917,75
66,0,51696,Rico Hoey,0.185,9.434,51
67,0,28775,Nate Lashley,0.182,8.202,45
68,0,33948,Byeong Hun An,0.181,11.925,66
69,0,47504,Sam Burns,0.173,11.417,66
70,0,29908,C.T. Pan,0.168,7.574,45
71,0,34256,Andrew Putnam,0.165,10.921,66
71,0,40006,Erik van Rooyen,0.165,10.242,62
73,0,57975,Harry Hall,0.164,9.670,59
74,0,57900,Chandler Phillips,0.160,9.574,60
75,0,39977,Max Homa,0.158,10.290,65
76,0,32367,Jorge Campillo,0.157,6.602,42
77,0,60004,Jacob Bridgeman,0.156,7.318,47
78,0,32070,Rafael Campos,0.146,5.420,37
79,0,40250,Taylor Pendrith,0.137,9.193,67
80,0,39975,Michael Kim,0.132,6.889,52
81,0,52513,Carson Young,0.131,7.473,57
82,0,52666,Sami Valimaki,0.130,5.872,45
83,0,59866,Nick Dunlap,0.129,7.768,60
83,0,31323,Gary Woodland,0.129,7.624,59
85,0,57366,Cameron Young,0.116,8.381,72
86,0,24502,Adam Scott,0.114,7.041,62
87,0,35310,Lanto Griffin,0.110,5.184,47
88,0,47591,Eric Cole,0.099,8.179,83
88,0,30911,Tommy Fleetwood,0.099,6.309,64
90,0,33486,Roger Sloan,0.091,3.917,43
91,0,29936,Ryan Fox,0.082,4.351,53
92,0,30926,Chris Kirk,0.077,4.751,62
93,0,51766,Wyndham Clark,0.075,4.643,62
94,0,39971,Sungjae Im,0.065,4.873,75
95,0,47420,Jake Knapp,0.046,3.023,66
96,0,39327,Ben Silverman,0.039,2.463,63
97,0,35450,Patrick Cantlay,0.024,1.329,55
98,0,33968,Thorbjørn Olesen,0.022,0.893,40
99,0,36884,Ben Kohles,0.017,0.992,58
100,0,29420,Billy Horschel,0.007,0.441,67
101,0,34255,Joseph Bramlett,-0.003,-0.196,57
102,0,47993,Denny McCarthy,-0.009,-0.673,76
103,0,52374,Brandon Wu,-0.011,-0.573,52
104,0,40058,Zac Blair,-0.012,-0.710,59
104,0,46441,Robby Shelton,-0.012,-0.675,57
106,0,27129,Luke List,-0.023,-1.167,51
107,0,51977,Max Greyserman,-0.034,-2.028,60
108,0,60067,Joe Highsmith,-0.035,-1.520,43
109,0,33399,Adam Hadwin,-0.039,-2.576,66
110,0,27214,Kevin Streelman,-0.044,-2.029,46
111,0,45157,Cam Davis,-0.046,-3.195,70
112,0,52514,Trace Crowe,-0.049,-1.945,40
113,0,52215,Robert MacIntyre,-0.051,-3.199,63
114,0,55454,Carl Yuan,-0.063,-2.850,45
115,0,48867,Matti Schmid,-0.078,-3.985,51
116,0,36799,Stephan Jaeger,-0.083,-5.228,63
117,0,54576,Patrick Fishburn,-0.109,-4.242,39
118,0,40098,Matt Fitzpatrick,-0.122,-7.574,62
119,0,36871,Matt NeSmith,-0.126,-6.697,53
119,0,49771,J.T. Poston,-0.126,-8.809,70
121,0,34563,Chesson Hadley,-0.130,-6.618,51
122,0,50484,Hayden Springer,-0.145,-6.546,45
123,0,46442,Maverick McNealy,-0.156,-10.793,69
124,0,46340,Alex Smalley,-0.162,-7.468,46
125,0,46113,Ryan McCormick,-0.163,-6.360,39
126,0,24024,Zach Johnson,-0.165,-6.602,40
127,0,33653,Thomas Detry,-0.196,-12.736,65
128,0,36699,Patrick Rodgers,-0.203,-15.422,76
129,0,34046,Jordan Spieth,-0.204,-12.862,63
130,0,51349,Nico Echavarria,-0.210,-11.550,55
131,0,23108,Matt Kuchar,-0.226,-12.636,56
132,0,48699,Callum Tarren,-0.232,-10.906,47
133,0,30927,Brendon Todd,-0.242,-19.826,82
134,0,37378,Min Woo Lee,-0.254,-13.994,55
135,0,49947,Taylor Moore,-0.264,-19.284,73
136,0,34099,Harris English,-0.266,-17.262,65
137,0,35506,Mackenzie Hughes,-0.275,-21.168,77
138,0,34466,Peter Malnati,-0.284,-17.325,61
139,0,55893,Sam Stevens,-0.294,-19.132,65
140,0,32102,Rickie Fowler,-0.296,-16.558,56
141,0,22371,Aaron Baddeley,-0.305,-15.844,52
142,0,51070,Vincent Norrman,-0.313,-14.375,46
143,0,28089,Jason Day,-0.343,-20.232,59
144,0,51894,Vince Whaley,-0.348,-13.563,39
145,0,59836,Pierceson Coody,-0.371,-19.655,53
146,0,32791,K.H. Lee,-0.372,-18.959,51
147,0,22405,Justin Rose,-0.373,-19.795,53
148,0,54421,Garrick Higgo,-0.386,-20.081,52
149,0,35461,Beau Hossler,-0.396,-24.941,63
150,0,55708,Hayden Buckley,-0.401,-21.269,53
151,0,47995,Davis Riley,-0.411,-24.242,59
152,0,47983,Chad Ramey,-0.414,-22.745,55
153,0,27936,Martin Laird,-0.441,-20.741,47
154,0,47663,Kevin Dougherty,-0.447,-19.217,43
155,0,59095,Chris Gotterup,-0.459,-25.685,56
156,0,50497,Adrien Dumont de Chassart,-0.480,-22.537,47
157,0,47347,Adam Schenk,-0.482,-32.784,68
158,0,32333,Kevin Tway,-0.499,-17.974,36
159,0,33408,Tyson Alexander,-0.515,-25.737,50
160,0,45609,Tyler Duncan,-0.521,-23.461,45
161,0,28420,Ryan Brehm,-0.526,-20.503,39
162,0,34374,Erik Barnes,-0.535,-19.792,37
163,0,50188,S.H. Kim,-0.597,-43.585,73
164,0,50493,Justin Suh,-0.640,-32.615,51
165,0,38991,Alejandro Tosti,-0.744,-37.206,50
166,0,48119,Ben Taylor,-0.782,-35.192,45
167,0,27649,Brandt Snedeker,-0.784,-36.854,47
168,0,52372,Cameron Champ,-0.834,-34.180,41
169,0,37212,Paul Barjon,-0.968,-33.894,35