RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,46414,Aaron Rai,72.02%,857,1190
2,0,50525,Collin Morikawa,70.57%,741,1050
3,1,49960,Sepp Straka,70.10%,736,1050
4,-1,36884,Ben Kohles,69.76%,669,959
5,4,40026,Daniel Berger,69.54%,541,778
6,-1,34098,Russell Henley,69.49%,713,1026
7,-1,30927,Brendon Todd,69.44%,843,1214
8,0,30911,Tommy Fleetwood,69.22%,688,994
9,1,26596,Ryan Moore,69.00%,552,800
10,-3,52513,Carson Young,68.74%,609,886
11,0,25900,Lucas Glover,68.31%,735,1076
12,1,37455,Si Woo Kim,67.27%,779,1158
13,1,57362,Austin Eckroat,67.13%,729,1086
14,1,40058,Zac Blair,66.90%,578,864
14,3,46046,Scottie Scheffler,66.90%,665,994
16,0,36801,Mark Hubbard,66.37%,746,1124
17,2,27644,Brian Harman,66.29%,769,1160
18,-6,52375,Doug Ghim,66.04%,630,954
18,0,26476,Chez Reavie,66.04%,494,748
20,1,33204,Shane Lowry,66.02%,647,980
21,1,24024,Zach Johnson,65.89%,423,642
22,2,34256,Andrew Putnam,65.88%,618,938
23,3,49771,J.T. Poston,65.71%,711,1082
24,3,56630,Akshay Bhatia,65.50%,786,1200
25,-2,30163,Henrik Norlander,65.47%,436,666
26,4,55182,Tom Kim,65.31%,704,1078
27,4,32640,Troy Merritt,65.20%,562,862
28,-4,45609,Tyler Duncan,65.16%,490,752
29,-9,28775,Nate Lashley,65.07%,488,750
30,-2,23108,Matt Kuchar,64.96%,534,822
31,0,54628,Lee Hodges,64.80%,696,1074
32,1,34076,Joel Dahmen,64.37%,627,974
33,1,39997,Corey Conners,64.29%,783,1218
34,-5,55708,Hayden Buckley,64.27%,527,820
35,1,30926,Chris Kirk,63.83%,637,998
36,5,51890,Greyson Sigg,63.79%,546,856
37,1,27349,Alex Noren,63.78%,611,958
38,1,29420,Billy Horschel,63.76%,672,1054
39,5,40115,Adam Svensson,63.69%,791,1242
40,0,31646,Emiliano Grillo,63.64%,756,1188
41,1,39971,Sungjae Im,63.62%,738,1160
42,-5,34587,Chan Kim,63.53%,615,968
43,1,39327,Ben Silverman,63.51%,616,970
44,-1,28252,Seamus Power,63.45%,717,1130
45,-10,51349,Nico Echavarria,63.26%,582,920
46,1,22405,Justin Rose,63.20%,541,856
47,1,40098,Matt Fitzpatrick,63.18%,628,994
47,1,48153,Matthieu Pavon,63.18%,556,880
49,1,51287,Ryo Hisatsune,63.06%,594,942
50,4,34099,Harris English,62.80%,677,1078
51,-5,29908,C.T. Pan,62.76%,428,682
52,4,52955,Ludvig Åberg,62.68%,623,994
53,-2,37275,Sam Ryder,62.59%,512,818
54,-1,47983,Chad Ramey,62.56%,528,844
55,2,33141,Keegan Bradley,62.55%,693,1108
56,3,34046,Jordan Spieth,62.45%,612,980
57,4,47993,Denny McCarthy,62.37%,726,1164
58,-6,32791,K.H. Lee,62.36%,517,829
59,1,48319,Tom Whitney,61.94%,446,720
60,-5,33486,Roger Sloan,61.80%,461,746
61,1,33399,Adam Hadwin,61.79%,629,1018
62,1,32367,Jorge Campillo,61.76%,441,714
63,3,47504,Sam Burns,61.62%,631,1024
64,4,36871,Matt NeSmith,61.60%,531,862
65,2,48081,Xander Schauffele,61.57%,644,1046
66,-2,57900,Chandler Phillips,61.47%,568,924
66,5,27649,Brandt Snedeker,61.47%,461,750
68,-10,52666,Sami Valimaki,61.28%,440,718
68,2,52374,Brandon Wu,61.28%,554,904
70,-5,32757,Patton Kizzire,61.21%,426,696
71,1,28089,Jason Day,61.16%,592,968
72,1,45157,Cam Davis,61.09%,639,1046
73,-4,59143,Mac Meissner,61.04%,542,888
74,3,58168,Davis Thompson,60.85%,690,1134
75,3,46717,Viktor Hovland,60.65%,484,798
76,0,27064,Jhonattan Vegas,60.60%,486,802
77,-3,50493,Justin Suh,60.57%,487,804
78,3,47679,Victor Perez,60.45%,567,938
79,3,47483,Will Zalatoris,60.44%,521,862
80,-5,47347,Adam Schenk,60.35%,659,1092
81,3,28237,Rory McIlroy,60.29%,580,962
81,3,25493,Nick Taylor,60.29%,580,962
83,5,32102,Rickie Fowler,60.12%,582,968
84,5,35532,Tom Hoge,60.06%,764,1272
85,1,27214,Kevin Streelman,60.05%,460,766
86,-3,51696,Rico Hoey,60.02%,533,888
87,-8,54576,Patrick Fishburn,59.70%,431,722
88,3,32839,Hideki Matsuyama,59.67%,586,982
89,3,51634,Sahith Theegala,59.66%,741,1242
90,3,57366,Cameron Young,59.61%,676,1134
91,-11,36326,David Lipsky,59.55%,455,764
92,2,45522,Christiaan Bezuidenhout,59.49%,630,1059
93,-3,46442,Maverick McNealy,59.40%,619,1042
94,2,46340,Alex Smalley,59.00%,459,778
95,2,48117,Kurt Kitayama,58.99%,551,934
96,2,33653,Thomas Detry,58.98%,545,924
97,-2,36799,Stephan Jaeger,58.88%,597,1014
98,-11,40162,Justin Lower,58.83%,643,1093
99,2,37378,Min Woo Lee,58.70%,506,862
100,-2,27936,Martin Laird,58.59%,457,780
101,6,35450,Patrick Cantlay,58.42%,534,914
102,3,48867,Matti Schmid,58.37%,516,884
102,2,39324,J.J. Spaun,58.37%,502,860
104,5,29725,Tony Finau,58.36%,642,1100
105,3,51997,Andrew Novak,58.33%,546,936
106,4,24502,Adam Scott,58.28%,577,990
107,4,51070,Vincent Norrman,58.27%,398,683
108,7,40006,Erik van Rooyen,58.14%,543,934
109,-9,52514,Trace Crowe,58.07%,410,706
110,8,51977,Max Greyserman,58.03%,553,953
111,-5,45242,Kevin Yu,58.00%,493,850
112,7,35310,Lanto Griffin,57.92%,417,720
112,-9,54783,Dylan Wu,57.92%,512,884
114,-13,39546,Keith Mitchell,57.82%,584,1010
115,-2,46441,Robby Shelton,57.71%,479,830
116,5,32333,Kevin Tway,57.63%,370,642
117,-3,32070,Rafael Campos,57.53%,382,664
117,-5,47995,Davis Riley,57.53%,504,876
119,1,49947,Taylor Moore,57.52%,681,1184
120,-4,60067,Joe Highsmith,57.49%,430,748
121,-5,47591,Eric Cole,57.46%,778,1354
122,4,55893,Sam Stevens,57.14%,616,1078
123,1,60004,Jacob Bridgeman,57.09%,475,832
124,1,52372,Cameron Champ,56.96%,360,632
125,-3,55454,Carl Yuan,56.81%,392,690
126,8,35461,Beau Hossler,56.77%,545,960
127,1,52215,Robert MacIntyre,56.64%,563,994
128,9,12716,Charley Hoffman,56.49%,470,832
129,1,47420,Jake Knapp,56.48%,558,988
130,1,40250,Taylor Pendrith,56.40%,564,1000
131,1,39977,Max Homa,56.38%,592,1050
132,3,36699,Patrick Rodgers,56.19%,626,1114
133,-4,47663,Kevin Dougherty,56.10%,386,688
134,-7,54591,Ben Griffin,56.09%,700,1248
135,3,47988,Nick Hardy,56.08%,572,1020
136,-3,59836,Pierceson Coody,56.07%,499,890
137,2,33448,Justin Thomas,55.95%,489,874
138,-15,50484,Hayden Springer,55.94%,433,774
139,-3,34563,Chesson Hadley,55.67%,432,776
140,4,33968,Thorbjørn Olesen,55.45%,366,660
141,2,22371,Aaron Baddeley,55.28%,450,814
142,3,51766,Wyndham Clark,55.25%,516,934
142,0,59866,Nick Dunlap,55.25%,516,934
144,-4,27129,Luke List,55.15%,471,854
145,1,35506,Mackenzie Hughes,55.05%,665,1208
146,2,48887,Matt Wallace,54.93%,457,832
147,0,50188,S.H. Kim,54.86%,632,1152
148,1,57975,Harry Hall,54.64%,483,884
149,-8,37212,Paul Barjon,54.59%,333,610
150,5,28420,Ryan Brehm,54.38%,360,662
151,0,52453,Nicolai Højgaard,54.30%,429,790
152,5,54421,Garrick Higgo,54.14%,458,846
153,-3,31323,Gary Woodland,54.12%,525,970
154,-2,39975,Michael Kim,54.01%,471,872
155,-2,50497,Adrien Dumont de Chassart,53.49%,445,832
156,2,33948,Byeong Hun An,53.33%,561,1052
157,2,59442,Parker Coody,53.29%,405,760
158,-2,33408,Tyson Alexander,53.04%,419,790
159,2,34466,Peter Malnati,52.58%,489,930
160,-6,27139,David Skinns,52.56%,451,858
161,-1,34255,Joseph Bramlett,52.49%,464,884
162,0,56149,Wilson Furr,51.65%,313,606
163,-1,34374,Erik Barnes,51.57%,313,607
164,-1,48699,Callum Tarren,50.90%,394,774
165,-1,48119,Ben Taylor,50.75%,338,666
166,1,38991,Alejandro Tosti,50.26%,382,760
167,-2,46113,Ryan McCormick,50.15%,333,664
168,-2,51894,Vince Whaley,50.14%,361,720
169,-2,29936,Ryan Fox,50.00%,456,912
170,-1,59095,Chris Gotterup,48.91%,426,871